duration,start_date,start_year,start_month,start_hour,weekday,start_city,end_city,subscription_type
1.05,2013-08-29 14:13:00,2013,8,14,3,San Francisco,San Francisco,subscriber
1.1666666666666667,2013-08-29 14:42:00,2013,8,14,3,San Jose,San Jose,subscriber
1.1833333333333333,2013-08-29 10:16:00,2013,8,10,3,Mountain View,Mountain View,subscriber
1.2833333333333334,2013-08-29 11:29:00,2013,8,11,3,San Jose,San Jose,subscriber
1.3833333333333333,2013-08-29 12:02:00,2013,8,12,3,San Francisco,San Francisco,subscriber
1.7166666666666666,2013-08-29 18:54:00,2013,8,18,3,San Francisco,San Francisco,subscriber
1.8166666666666667,2013-08-29 13:25:00,2013,8,13,3,San Jose,San Jose,subscriber
1.85,2013-08-29 14:02:00,2013,8,14,3,San Jose,San Jose,subscriber
1.8833333333333333,2013-08-29 17:01:00,2013,8,17,3,San Francisco,San Francisco,subscriber
1.9,2013-08-29 11:33:00,2013,8,11,3,San Jose,San Jose,subscriber
2.0833333333333335,2013-08-29 13:52:00,2013,8,13,3,San Francisco,San Francisco,subscriber
2.1,2013-08-29 13:23:00,2013,8,13,3,San Jose,San Jose,subscriber
2.15,2013-08-29 19:32:00,2013,8,19,3,Mountain View,Mountain View,subscriber
2.1666666666666665,2013-08-29 13:57:00,2013,8,13,3,San Francisco,San Francisco,subscriber
2.2333333333333334,2013-08-29 12:31:00,2013,8,12,3,San Francisco,San Francisco,subscriber
2.3,2013-08-29 16:57:00,2013,8,16,3,San Francisco,San Francisco,subscriber
2.35,2013-08-29 11:25:00,2013,8,11,3,San Jose,San Jose,subscriber
2.3666666666666667,2013-08-29 12:11:00,2013,8,12,3,San Francisco,San Francisco,subscriber
2.3666666666666667,2013-08-29 22:21:00,2013,8,22,3,San Francisco,San Francisco,subscriber
2.4,2013-08-29 22:06:00,2013,8,22,3,San Francisco,San Francisco,subscriber
2.433333333333333,2013-08-29 19:42:00,2013,8,19,3,San Francisco,San Francisco,subscriber
2.466666666666667,2013-08-29 12:45:00,2013,8,12,3,Redwood City,Redwood City,subscriber
2.5166666666666666,2013-08-29 11:40:00,2013,8,11,3,San Francisco,San Francisco,subscriber
2.6666666666666665,2013-08-29 22:12:00,2013,8,22,3,San Francisco,San Francisco,subscriber
2.683333333333333,2013-08-29 10:56:00,2013,8,10,3,San Francisco,San Francisco,customer
2.716666666666667,2013-08-29 13:53:00,2013,8,13,3,San Jose,San Jose,subscriber
2.75,2013-08-29 13:43:00,2013,8,13,3,San Francisco,San Francisco,subscriber
2.7666666666666666,2013-08-29 13:31:00,2013,8,13,3,San Jose,San Jose,subscriber
2.8,2013-08-29 21:43:00,2013,8,21,3,San Francisco,San Francisco,subscriber
2.816666666666667,2013-08-29 18:45:00,2013,8,18,3,Redwood City,Redwood City,subscriber
2.8833333333333333,2013-08-29 11:45:00,2013,8,11,3,San Francisco,San Francisco,customer
2.8833333333333333,2013-08-29 12:27:00,2013,8,12,3,San Francisco,San Francisco,subscriber
2.9,2013-08-29 09:08:00,2013,8,9,3,San Francisco,San Francisco,subscriber
2.9166666666666665,2013-08-29 15:02:00,2013,8,15,3,San Francisco,San Francisco,subscriber
2.966666666666667,2013-08-29 09:42:00,2013,8,9,3,San Francisco,San Francisco,subscriber
3.05,2013-08-29 22:08:00,2013,8,22,3,San Francisco,San Francisco,subscriber
3.066666666666667,2013-08-29 16:27:00,2013,8,16,3,San Francisco,San Francisco,subscriber
3.1,2013-08-29 15:11:00,2013,8,15,3,San Francisco,San Francisco,subscriber
3.1,2013-08-29 17:30:00,2013,8,17,3,San Francisco,San Francisco,subscriber
3.1333333333333333,2013-08-29 16:27:00,2013,8,16,3,San Francisco,San Francisco,subscriber
